date,platform,sku_id,sku_name,category,unit_price,unit_cost,units_sold,ad_spend,impressions,clicks,orders,stock,returns,promotion_flag
2026-08-01,Tmall,SKU001,无糖青柠气泡水,饮料,6.9,3.2,156,191.76,15314,391,45,1521,7,True
2026-08-01,Tmall,SKU002,原味燕麦早餐棒,食品,12.9,6.5,101,457.53,11070,318,55,683,1,True
2026-08-01,Tmall,SKU003,清爽控油洗发水,个人护理,39.9,18.0,51,485.45,15223,577,51,776,2,True
2026-08-01,Tmall,SKU004,婴儿柔湿巾,家庭护理,19.9,9.0,87,255.04,17105,448,87,986,2,True
2026-08-01,Tmall,SKU005,高蛋白酸奶,食品,9.9,5.8,109,225.46,27782,849,90,2240,3,True
2026-08-01,JD,SKU001,无糖青柠气泡水,饮料,6.9,3.2,106,613.48,17606,936,106,1120,5,True
2026-08-01,JD,SKU002,原味燕麦早餐棒,食品,12.9,6.5,81,511.15,15467,787,81,702,4,True
2026-08-01,JD,SKU003,清爽控油洗发水,个人护理,39.9,18.0,49,358.66,19954,528,49,706,2,True
2026-08-01,JD,SKU004,婴儿柔湿巾,家庭护理,19.9,9.0,68,501.27,28806,773,68,598,1,True
2026-08-01,JD,SKU005,高蛋白酸奶,食品,9.9,5.8,96,645.08,26250,755,96,1887,4,True
2026-08-01,Douyin,SKU001,无糖青柠气泡水,饮料,6.9,3.2,156,566.25,21145,649,85,2602,8,True
2026-08-01,Douyin,SKU002,原味燕麦早餐棒,食品,12.9,6.5,133,327.9,20964,1161,133,1531,2,True
2026-08-01,Douyin,SKU003,清爽控油洗发水,个人护理,39.9,18.0,60,530.14,27155,1008,60,772,1,True
2026-08-01,Douyin,SKU004,婴儿柔湿巾,家庭护理,19.9,9.0,112,245.02,9543,519,63,1065,2,True
2026-08-01,Douyin,SKU005,高蛋白酸奶,食品,9.9,5.8,158,460.31,27526,1647,158,1454,9,True
2026-08-02,Tmall,SKU001,无糖青柠气泡水,饮料,6.9,3.2,166,185.4,25595,1280,166,2430,4,True
2026-08-02,Tmall,SKU002,原味燕麦早餐棒,食品,12.9,6.5,93,254.33,16630,979,93,644,3,True
2026-08-02,Tmall,SKU003,清爽控油洗发水,个人护理,39.9,18.0,49,473.89,24635,1092,49,1003,2,True
2026-08-02,Tmall,SKU004,婴儿柔湿巾,家庭护理,19.9,9.0,82,545.95,8018,352,60,1106,1,True
2026-08-02,Tmall,SKU005,高蛋白酸奶,食品,9.9,5.8,119,643.1,15846,353,81,2171,6,True
2026-08-02,JD,SKU001,无糖青柠气泡水,饮料,6.9,3.2,105,408.42,25455,1288,105,1101,3,True
2026-08-02,JD,SKU002,原味燕麦早餐棒,食品,12.9,6.5,81,304.58,21865,1280,81,1826,3,True
2026-08-02,JD,SKU003,清爽控油洗发水,个人护理,39.9,18.0,47,515.09,29295,1023,47,665,1,True
2026-08-02,JD,SKU004,婴儿柔湿巾,家庭护理,19.9,9.0,60,210.09,26150,763,60,543,0,True
2026-08-02,JD,SKU005,高蛋白酸奶,食品,9.9,5.8,103,287.6,18827,429,58,2339,4,True
2026-08-02,Douyin,SKU001,无糖青柠气泡水,饮料,6.9,3.2,164,242.19,26711,1149,156,2868,5,True
2026-08-02,Douyin,SKU002,原味燕麦早餐棒,食品,12.9,6.5,116,224.33,19609,724,116,1536,5,True
2026-08-02,Douyin,SKU003,清爽控油洗发水,个人护理,39.9,18.0,71,642.56,21193,1041,71,435,1,True
2026-08-02,Douyin,SKU004,婴儿柔湿巾,家庭护理,19.9,9.0,88,432.05,14012,436,59,674,4,True
2026-08-02,Douyin,SKU005,高蛋白酸奶,食品,9.9,5.8,147,584.83,9657,445,80,1735,1,True
2026-08-03,Tmall,SKU001,无糖青柠气泡水,饮料,6.9,3.2,105,534.18,21317,840,105,1442,3,False
2026-08-03,Tmall,SKU002,原味燕麦早餐棒,食品,12.9,6.5,69,358.12,16690,952,69,1980,1,False
